,Accuracy,F1,Precision,Recall
0,0.982040627822358,0.9593583588380674,0.966552673977444,0.9522703509240854
1,0.9822166084699577,0.9597690924439866,0.9666618882005128,0.952973899080267
2,0.9819902499426695,0.9592407594469133,0.9665207370157785,0.9520696297616231
3,0.9819357688872598,0.9590970959428469,0.96686488072814,0.9514531290483461
4,0.9819868306295685,0.959225805785817,0.966679354699148,0.9518863180877418
5,0.9821094699927921,0.9595180312732918,0.9666194156111391,0.9525202282895997
6,0.9821012636413496,0.959499295148777,0.9666045885174823,0.9524976983632009
7,0.9819414677424282,0.959122680462375,0.9665860646999787,0.9517736684557476
8,0.982063879151445,0.9593998758513291,0.9668628837673683,0.9520511961854786
9,0.9820818875337771,0.95944840252377,0.9667238803565061,0.9522816158872848
